,userId,itemId,rating
25894,431,3178,3.0
57569,62,107348,2.5
63869,74,187595,5.0
21632,295,2403,2.5
80785,359,508,3.0
3073,87,733,4.0
18424,358,1357,5.0
18454,105,3943,3.5
23823,80,2082,4.0
76368,150,109487,3.0
75697,218,509,3.0
18528,222,6879,3.0
42055,248,6218,3.5
11503,598,25,4.0
42342,295,103228,3.5
72610,205,109487,3.5
84107,108,71252,3.0
33302,8,3298,4.0
88987,526,49389,4.0
47878,99,541,5.0
75937,46,79,1.0
82699,362,2028,5.0
48634,272,1552,2.5
68328,501,377,3.0
86943,548,2329,4.0
22891,522,98809,3.5
52119,594,3081,0.5
19095,278,3681,5.0
6883,449,1610,4.0
65638,250,4720,4.0
71990,475,3258,2.0
17899,65,2657,4.5
60300,120,61024,3.5
8125,339,1206,5.0
65601,0,74545,3.5
29760,491,2011,5.0
41323,107,6654,3.5
33280,295,102481,4.0
64190,201,2454,3.0
58177,0,54272,4.0
74363,349,65682,2.5
24521,231,2294,4.0
13679,349,53123,5.0
67964,382,84374,0.5
16593,181,541,4.0
40718,500,30812,4.0
8399,222,1357,4.0
8398,423,8368,3.5
37921,266,2599,2.5
56003,201,1272,4.0
30131,565,7019,2.0
31043,213,60069,5.0
74477,483,4483,1.0
55384,178,349,3.5
48297,382,4571,2.5
56796,271,8638,3.0
12006,181,2710,4.0
12759,565,116799,3.0
88989,268,1909,2.0
4245,171,4808,2.0
56245,365,39183,4.0
77544,222,5445,4.5
14771,552,44709,3.0
10527,163,26729,4.0
89521,570,4254,3.5
53994,13,3083,4.0
89599,270,17,4.0
85006,526,40826,2.5
42421,431,2144,4.0
43241,108,110,4.5
22118,171,733,4.0
80971,217,4995,4.5
10498,276,2006,3.5
69501,453,135861,4.0
41468,418,300,5.0
87236,6,1291,5.0
65492,43,485,4.0
29382,259,44191,4.0
58778,429,1037,2.0
39924,0,5040,3.5
15757,19,798,5.0
8953,178,2137,3.5
11476,68,7,2.0
32588,475,49822,4.0
58985,517,1917,3.5
57654,431,2302,3.0
85932,528,1347,3.5
69923,11,71535,3.5
7095,535,16,4.0
19632,240,7163,2.5
56200,43,5334,1.0
36908,474,1028,4.0
31549,481,2253,3.0
53730,268,2097,2.0
68155,382,49651,3.0
5704,43,112183,3.5
73925,183,586,2.5
11289,171,899,4.0
75298,388,3256,5.0
16191,99,26084,4.0
25091,126,193,1.0
46849,295,40815,4.0
71525,276,1918,4.0
22917,282,3307,2.0
86233,33,46578,4.0
6038,186,340,3.0
48474,562,250,3.0
70092,514,3784,2.0
85111,471,778,4.0
62771,131,379,1.0
17556,222,6953,3.0
50916,254,3358,3.0
5947,365,1345,4.5
43143,418,348,3.0
5543,585,616,1.0
31315,588,148172,3.5
88467,149,45517,3.5
26886,182,5013,5.0
39874,297,3827,3.5
4608,74,50872,5.0
32495,150,5010,5.0
34944,298,3484,5.0
9663,100,51662,3.5
63370,554,2112,3.0
70474,139,593,5.0
45785,493,56389,4.0
31423,74,91630,4.0
75691,149,849,4.0
23567,565,7228,2.0
83576,181,2336,3.0
20539,382,6548,1.5
52474,181,3698,3.0
69848,226,7451,3.5
33705,268,2571,5.0
35421,43,6862,3.5
52663,565,1350,2.5
41299,43,155358,2.0
74724,282,2530,1.0
5470,43,129657,1.0
87643,510,134853,4.0
26696,362,353,3.5
10014,558,89580,4.0
35599,218,107702,3.5
36962,358,581,4.0
37019,163,1784,4.0
71281,215,3269,3.0
35255,156,4027,4.0
79926,231,2458,4.0
64795,43,1196,5.0
17906,62,103372,3.5
83573,11,4361,4.5
50426,201,2793,1.0
8437,386,150,3.5
